,match,team,start_time,end_time,player_ids,xG_conceded,opp_possession
710,3775572,Birmingham City WFC,0.0,,"[4984, 15574]",0.0,0.0
711,2275044,Manchester City WFC,0.0,58.0,"[10185, 15554]",0.45941402899999995,1618.529425019
712,2275044,Manchester City WFC,58.0,61.0,[15554],0.0,73.16235999999999
713,2275044,Manchester City WFC,61.0,,[],0.0,0.0
714,2275083,Bristol City WFC,0.0,,"[10171, 15618]",0.0,0.0
715,2275075,Reading WFC,0.0,,"[10198, 15720]",0.0,0.0
716,2275075,Reading WFC,63.0,65.0,"[10198, 19780]",0.0,14.991204
717,2275075,Reading WFC,65.0,,[10198],0.0,0.0
718,3775611,Manchester City WFC,0.0,28.0,"[10185, 15554]",0.217749997,453.941841
719,3775611,Manchester City WFC,28.0,,[15554],0.0,0.0
720,2275033,Tottenham Hotspur Women,0.0,,"[31552, 31703]",0.0,0.0
721,7298,Chelsea FCW,0.0,,"[4633, 4642, 4657]",0.0,0.0
722,7298,Chelsea FCW,31.0,,"[4633, 4657]",0.0,0.0
723,3764231,Brighton & Hove Albion WFC,0.0,,"[4989, 16395]",0.0,0.0
724,19752,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
725,2275133,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
726,3775649,Reading WFC,0.0,,"[20061, 31628]",0.0,0.0
727,2275131,Everton LFC,0.0,71.0,"[10651, 15575]",1.468584616,1948.4303410640002
728,2275131,Everton LFC,71.0,,"[15575, 19687]",0.0,0.0
729,3775603,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
730,2275107,Reading WFC,0.0,,"[15720, 31628]",0.0,0.0
731,2275107,Reading WFC,76.0,,[15720],0.0,0.0
732,19746,West Ham United LFC,0.0,,"[18145, 18151, 21014]",0.0,0.0
733,3775581,Aston Villa,0.0,0.0,"[4657, 46538, 77717]",0.0,0.0
734,3775581,Aston Villa,28.0,,"[4657, 46538, 77717, 46534]",0.0,0.0
735,19798,Manchester City WFC,0.0,,"[10185, 23465]",0.0,0.0
736,19798,Manchester City WFC,45.0,,"[10185, 4648]",0.0,0.0
737,19752,Manchester City WFC,0.0,81.0,"[10185, 17524]",0.054077997,932.576666004
738,19752,Manchester City WFC,81.0,,[17524],0.0,0.0
739,2275121,Brighton & Hove Albion WFC,0.0,,"[16395, 19420]",0.0,0.0
740,3775600,Manchester City WFC,0.0,,"[5081, 10185]",0.0,0.0
741,3775659,Manchester City WFC,0.0,,"[10185, 10252]",0.0,0.0
742,19735,Manchester City WFC,0.0,,"[10185, 17524]",0.0,0.0
743,2275080,Bristol City WFC,0.0,,"[16381, 16391]",0.0,0.0
744,2275080,Bristol City WFC,45.0,,"[16381, 21059]",0.0,0.0
745,2275139,Tottenham Hotspur Women,0.0,23.0,"[31552, 31703]",0.853023274,306.22419399999995
746,2275139,Tottenham Hotspur Women,23.0,81.0,[31703],0.6136938470000001,785.945532005
747,2275139,Tottenham Hotspur Women,81.0,88.0,[32617],0.07516644,108.28818300099998
748,2275139,Tottenham Hotspur Women,88.0,,[],0.0,0.0
749,3764232,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
750,3775626,Manchester City WFC,0.0,,"[4649, 10185]",0.0,0.0
751,19722,Arsenal WFC,0.0,68.0,"[10666, 15621]",0.270510236,493.118143012
752,19722,Arsenal WFC,68.0,,[15621],0.0,0.0
753,3775568,Aston Villa,0.0,,"[4657, 46535, 46537]",0.0,0.0
754,3775568,Aston Villa,48.0,,"[4657, 46535]",0.0,0.0
755,19775,Reading WFC,0.0,,"[10198, 18152]",0.0,0.0
756,19797,Yeovil Town LFC,0.0,,"[15712, 15715, 15717]",0.0,0.0
757,3775559,Arsenal WFC,0.0,24.0,"[17524, 18999]",0.36017286000000004,304.26061102999995
758,3775559,Arsenal WFC,24.0,,[18999],0.0,0.0
759,19785,Arsenal WFC,0.0,,"[10091, 15621]",0.0,0.0
760,19785,Arsenal WFC,70.0,76.0,[10091],0.040573768999999996,39.388843023
761,19785,Arsenal WFC,76.0,,[10088],0.0,0.0
762,2275038,West Ham United LFC,0.0,,"[18151, 34232]",0.0,0.0
763,2275156,Manchester United,0.0,,"[4648, 31536]",0.0,0.0
764,19763,Birmingham City WFC,0.0,,"[15569, 19503]",0.0,0.0
765,2275070,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
766,2275109,Birmingham City WFC,0.0,,"[19592, 31568]",0.0,0.0
767,2275082,Tottenham Hotspur Women,0.0,,"[31552, 31703]",0.0,0.0
768,2275050,Birmingham City WFC,0.0,,"[19592, 31568]",0.0,0.0
769,19727,Birmingham City WFC,0.0,,"[15569, 19503]",0.0,0.0
770,2275099,Reading WFC,0.0,,"[10198, 15720]",0.0,0.0
771,3775648,Aston Villa,0.0,,"[4657, 46534, 46535]",0.0,0.0
772,2275027,Brighton & Hove Albion WFC,0.0,,"[16383, 22337]",0.0,0.0
773,19732,Reading WFC,0.0,,"[10198, 18152]",0.0,0.0
774,2275116,Manchester City WFC,0.0,,"[10185, 15554]",0.0,0.0
775,19781,Arsenal WFC,0.0,,"[10091, 18999]",0.0,0.0
776,19818,Yeovil Town LFC,0.0,,"[15715, 15717]",0.0,0.0
777,3775623,Brighton & Hove Albion WFC,0.0,,"[16383, 20034]",0.0,0.0
778,19768,Bristol City WFC,0.0,,"[10171, 16383]",0.0,0.0
779,19768,Bristol City WFC,25.0,,[10171],0.0,0.0
780,2275065,Birmingham City WFC,0.0,,"[19592, 31568]",0.0,0.0
781,3775615,Aston Villa,0.0,,"[46534, 46535]",0.0,0.0
782,3775552,Tottenham Hotspur Women,0.0,,"[4648, 5074]",0.0,0.0
783,3775557,Brighton & Hove Albion WFC,0.0,81.0,"[16383, 16395]",2.048427761,2149.2094320469996
784,3775557,Brighton & Hove Albion WFC,81.0,,[16395],0.0,0.0
785,19813,West Ham United LFC,0.0,,"[18151, 18159]",0.0,0.0
786,19775,Liverpool WFC,0.0,,"[15614, 15618]",0.0,0.0
787,2275144,Everton LFC,0.0,,"[10651, 18254]",0.0,0.0
788,2275040,West Ham United LFC,0.0,,"[18151, 31556]",0.0,0.0
789,2275040,West Ham United LFC,59.0,,"[18151, 18159]",0.0,0.0
790,3775609,Arsenal WFC,0.0,,"[18999, 49697]",0.0,0.0
791,19767,Reading WFC,0.0,,"[10198, 18152]",0.0,0.0
792,3775590,Birmingham City WFC,0.0,,"[19592, 41812]",0.0,0.0
793,2275084,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
794,3775588,Tottenham Hotspur Women,0.0,,"[5074, 31703]",0.0,0.0
795,3775541,Aston Villa,0.0,45.0,"[4657, 46534, 46535]",0.404639722,1033.450456019
796,3775541,Aston Villa,45.0,47.0,"[4657, 46534, 46539]",0.0,59.866294002
797,3775541,Aston Villa,47.0,71.0,"[46534, 46539]",0.35786450200000003,711.4072250030001
798,3775541,Aston Villa,71.0,,"[46539, 46536]",0.0,0.0
799,3775598,Tottenham Hotspur Women,0.0,46.0,"[4648, 5074]",0.575660453,1092.153943114
800,3775598,Tottenham Hotspur Women,46.0,,[5074],0.0,0.0
801,2275084,West Ham United LFC,0.0,,"[18151, 31556]",0.0,0.0
802,19816,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
803,19793,Liverpool WFC,0.0,,"[15614, 15622]",0.0,0.0
804,3775553,Birmingham City WFC,0.0,,"[4984, 15574]",0.0,0.0
805,3775553,Birmingham City WFC,7.0,,[4984],0.0,0.0
806,2275094,Birmingham City WFC,0.0,83.0,"[15569, 31568]",0.696180036,1348.319266104
807,2275094,Birmingham City WFC,83.0,,[31568],0.0,0.0
808,19817,Everton LFC,0.0,,"[15572, 18254]",0.0,0.0
809,3775644,Manchester United,0.0,,"[4648, 31536]",0.0,0.0
810,3775647,Brighton & Hove Albion WFC,0.0,,"[16383, 22337]",0.0,0.0
811,2275146,Everton LFC,0.0,,"[15575, 18254]",0.0,0.0
812,2275107,Manchester City WFC,0.0,,"[10185, 15554]",0.0,0.0
813,19820,Reading WFC,0.0,,"[15720, 18152]",0.0,0.0
814,19803,Everton LFC,0.0,,"[15572, 15574, 15575]",0.0,0.0
815,19803,Everton LFC,45.0,,"[15572, 15575]",0.0,0.0
816,19808,Yeovil Town LFC,0.0,,"[15715, 15717]",0.0,0.0
817,3775636,Bristol City WFC,0.0,61.0,"[15618, 16381]",0.9987444480000001,1123.852713012
818,3775636,Bristol City WFC,61.0,,[16381],0.0,0.0
819,2275057,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
820,19718,Birmingham City WFC,0.0,,"[15569, 19503]",0.0,0.0
821,19774,Everton LFC,0.0,81.0,"[15574, 15575]",0.6931150990000001,1017.5492409999999
822,19774,Everton LFC,81.0,,[15575],0.0,0.0
823,3775642,Aston Villa,0.0,,"[15565, 46537, 46541]",0.0,0.0
824,3775637,Bristol City WFC,0.0,,"[16381, 24922, 46741]",0.0,0.0
825,3775637,Bristol City WFC,54.0,84.0,"[16381, 46741, 15578]",1.07601816,386.39770609999994
826,3775637,Bristol City WFC,84.0,,"[16381, 15578, 16394]",0.0,0.0
827,19766,Brighton & Hove Albion WFC,0.0,,"[16394, 16395]",0.0,0.0
828,2275034,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
829,2275034,Liverpool WFC,67.0,,[15614],0.0,0.0
830,19726,Everton LFC,0.0,,"[15574, 15575, 18254]",0.0,0.0
831,19726,Everton LFC,41.0,,"[15574, 18254]",0.0,0.0
832,19821,Manchester City WFC,0.0,,"[10185, 15554]",0.0,0.0
833,2275121,Arsenal WFC,0.0,,"[10235, 17524]",0.0,0.0
834,3775572,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
835,3775555,Tottenham Hotspur Women,0.0,,"[4648, 5074]",0.0,0.0
836,2275080,Chelsea FCW,0.0,63.0,"[4642, 19422]",0.232967234,467.04008600699996
837,2275080,Chelsea FCW,63.0,,[19422],0.0,0.0
838,2275131,Manchester City WFC,0.0,,"[10185, 15554]",0.0,0.0
839,19757,Brighton & Hove Albion WFC,0.0,,"[16395, 19420]",0.0,0.0
840,19727,Reading WFC,0.0,,"[10198, 18152]",0.0,0.0
841,3775613,Tottenham Hotspur Women,0.0,,"[4648, 5074]",0.0,0.0
842,3775618,Birmingham City WFC,0.0,,"[4984, 15574]",0.0,0.0
843,2275050,Reading WFC,0.0,,"[10198, 15720]",0.0,0.0
844,2275050,Reading WFC,55.0,,"[10198, 21021]",0.0,0.0
845,2275052,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
846,3775573,Manchester City WFC,0.0,,"[4649, 10252]",0.0,0.0
847,3775573,Manchester City WFC,69.0,,[4649],0.0,0.0
848,19733,Birmingham City WFC,0.0,,"[15569, 19503]",0.0,0.0
849,2275117,Arsenal WFC,0.0,,"[10235, 18999]",0.0,0.0
850,2275048,West Ham United LFC,0.0,2.0,"[18151, 31556]",0.0,8.407
851,2275048,West Ham United LFC,2.0,66.0,[31556],0.39056040649999996,850.418289122
852,2275048,West Ham United LFC,66.0,,[],0.0,0.0
853,3775551,Arsenal WFC,0.0,89.0,"[10235, 18999]",1.5341714629999998,1543.0787291329998
854,3775551,Arsenal WFC,89.0,94.0,"[18999, 41812]",0.189233432,61.607999
855,3775551,Arsenal WFC,94.0,,[18999],0.0,0.0
856,3775612,Birmingham City WFC,0.0,,"[15574, 19592]",0.0,0.0
857,19814,Bristol City WFC,0.0,,"[10171, 16381]",0.0,0.0
